fileName	fastCpG	slowCpG
BP_bone_marrow_bmPCs-V156_plasma_cell_DiseaseFree	0.267702425130207	0.875954188727491
BP_bone_marrow_G199_hematopoietic_multipotent_progenitor_cell_DiseaseFree	0.908118505023711	0.95879471090306
BP_bone_marrow_G200_precursor_lymphocyte_of_B_lineage_DiseaseFree	0.847742825031649	0.951382848386131
BP_bone_marrow_G202_plasma_cell_DiseaseFree	0.174966636346315	0.843539129343609
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	0.378889820868432	0.884111855684566
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	0.0868943873835616	0.410710739751854
BP_bone_marrow_HPC-V151_hematopoietic_multipotent_progenitor_cell_DiseaseFree	0.912847687830134	0.959049001291175
BP_bone_marrow_PreB2C-V152_precursor_B_cell_DiseaseFree	0.863629761074731	0.95384914019963
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	0.654194460820846	0.93369551492366
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	0.643371215537346	0.930940801814603
BP_bone_marrow_S005EJA1_myeloid_cell_AcuteMyeloidLeukemia	0.539701658394779	0.95167210259658
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	0.728981519261848	0.951813793440692
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	0.746424387849703	0.946555795507342
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	0.685198829739048	0.939563520013443
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	0.811486939923503	0.962585799612496
BP_bone_marrow_S00CYPA1_myeloid_cell_AcuteMyeloidLeukemia	0.671748415372548	0.946278091163627
BP_bone_marrow_S00D0FA1_myeloid_cell_AcuteMyeloidLeukemia	0.604188772418762	0.937738656194337
BP_bone_marrow_S00JE0A1_neutrophilic_myelocyte_DiseaseFree	0.804856519678975	0.937518792092566
BP_bone_marrow_S00JFZA1_neutrophilic_metamyelocyte_DiseaseFree	0.771113390403518	0.924298938791875
BP_bone_marrow_S00JGXA1_band_form_neutrophil_DiseaseFree	0.783176417899404	0.930598697401487
BP_bone_marrow_S00JHVA1_segmented_neutrophil_of_bone_marrow_DiseaseFree	0.778799125531001	0.930024192216037
BP_bone_marrow_S00JJRA1_neutrophilic_myelocyte_DiseaseFree	0.825843165971339	0.943094598380473
BP_bone_marrow_S00JKPA1_neutrophilic_metamyelocyte_DiseaseFree	0.783660383962095	0.929068991217243
BP_bone_marrow_S00JMLA1_band_form_neutrophil_DiseaseFree	0.788362928875472	0.934031612740237
BP_bone_marrow_S00JNJA1_segmented_neutrophil_of_bone_marrow_DiseaseFree	0.787204718566992	0.931390372397532
BP_bone_marrow_S00VCUA1_neutrophilic_myelocyte_DiseaseFree	0.825426779266229	0.943974603085301
BP_bone_marrow_S00VDSA1_neutrophilic_metamyelocyte_DiseaseFree	0.791843063553997	0.930248377963297
BP_bone_marrow_S00VEQA1_band_form_neutrophil_DiseaseFree	0.793870520147009	0.932985531554528
BP_bone_marrow_S00VFOA1_segmented_neutrophil_of_bone_marrow_DiseaseFree	0.799345780934188	0.935386151760155
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	0.0934503795093385	0.333368825760198
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	0.0701053504672304	0.319004875589937
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	0.136152914021649	0.623421572309325
BP_bone_marrow_S013M3A1_myeloid_cell_AcuteMyeloidLeukemia	0.736387202153699	0.959676977606432
BP_bone_marrow_S013N1A1_mononuclear_cell_of_bone_marrow_AcuteMyeloidLeukemia	0.720398929615254	0.959457013900504
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	0.527747413412948	0.953654003508403
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	0.624055358247732	0.944010914717634
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	0.49409132957432	0.948862781316817
